,책이름,저자 및 출판사,가격
0,흔한남매 7,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수 | 미래엔아이세움,10800
1,질서 너머,조던 B. 피터슨 저/김한영 역 | 웅진지식하우스,16020
2,달러구트 꿈 백화점,이미예 저 | 팩토리나인,12420
3,주린이가 가장 알고 싶은 최다질문 TOP 77,염승환 저 | 메이트북스,16200
4,이상한 과자 가게 전천당 10,히로시마 레이코 글/쟈쟈 그림/김정화 역 | 길벗스쿨,10800
5,설민석의 한국사 대모험 16,"설민석,스토리박스 글/정현희 그림/태건 역사 연구소 감수 | 아이휴먼",10800
6,흔한남매 불꽃 튀는 우리말 1,흔한남매 원저/한은호 글/유희석 그림/흔한컴퍼니 감수 | 다산어린이,11700
7,어떻게 말해줘야 할까,오은영 저/차상미 그림 | 김영사,15750
8,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 상",최태성 저 | 이투스북 ,13500
9,"2021 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급) 하",최태성 저 | 이투스북 ,12600
10,주택과 세금,국세청 저 | 국세청,7000
11,2030 축의 전환,마우로 기옌 저/우진하 역 | 리더스북,16200
12,수학 잘하는 아이는 이렇게 공부합니다,류승재 저 | 블루무스,15120
13,아몬드,손원평 저 | 창비,10800
14,마지막 몰입 : 나를 넘어서는 힘,짐 퀵 저/김미정 역 | 비즈니스북스,15120
15,강방천의 관점,강방천 저 | 한국경제신문사(한경비피),22500
16,모래알만 한 진실이라도,박완서 저 | 세계사,14400
17,130층 나무 집,앤디 그리피스 글/테리 덴톤 그림/신수진 역 | 시공주니어,10800
18,해커스 토익 기출 보카,데이비드 조 저 | 해커스어학연구소,11610
19,공정하다는 착각,마이클 샌델 저/함규진 역 | 와이즈베리,16200
20,나의 첫 투자 수업 1 마인드편,"김이안,김정환 저 | 트러스트북스",15300
21,2021 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화,최태성 저 | 이투스북 ,17100
22,좋은 사람에게만 좋은 사람이면 돼 (봄 에디션),김재식 저 | 위즈덤하우스,13320
23,푸른 사자 와니니 3,이현 글/오윤화 그림 | 창비,9720
24,비극의 탄생,손병관 편 | 왕의서재,15750
25,겁내지 않고 그림 그리는 법,이연 저 | 미술문화,13500
26,나의 첫 투자 수업 2 투자편,"김이안,김정환 저 | 트러스트북스",15300
27,돈의 심리학,모건 하우절 저/이지연 역 | 인플루엔셜,17820
28,평범한 결혼생활,임경선 저 | 토스트,13500
29,ETS 토익 정기시험 기출문제집 1000 Vol.2 READING 리딩,ETS 저 | YBM(와이비엠),16020
30,2021 선재국어 나침판 실전 모의고사 vol. 1,이선재 편저 | 에스티유니타스,18900
31,어린이라는 세계,김소영 저 | 사계절,13500
32,ETS 토익 정기시험 기출문제집 1000 Vol.2 LISTENING 리스닝,ETS 저 | YBM(와이비엠),16020
33,파친코 2,이민진 저/이미정 역 | 문학사상,13050
34,파친코 1,이민진 저/이미정 역 | 문학사상,13050
35,페인트,이희영 저 | 창비,10800
36,푸른 사자 와니니,이현 글/오윤화 그림 | 창비,9720
37,이서윤의 초등생활 처방전 365,이서윤 저 | 아울북,25110
38,절대 배신하지 않는 공부의 기술,이상욱(긍정에너지토리파) 저 | 웅진지식하우스,13950
39,이토록 공부가 재미있어지는 순간,박성혁 저 | 다산북스,13500
