기간,차종별,계,휘발유,경유,LPG,전기,CNG,하이브리드,수소
2015,승용차,2560154,1599561,652373,271852,1139,780,33896,552
2015,승합차,141927,1297,103043,28160,10,8737,31,649
2015,화물차,347765,1649,304235,38351,2,472,,3056
2015,특수차,6742,21,6548,92,,3,,78
2016,승용차,2598344,1593968,697496,259417,1484,678,44823,466
2016,승합차,134309,1199,100355,23198,10,8712,52,783
2016,화물차,343173,1633,302902,34766,4,461,,3407
2016,특수차,7181,19,6974,88,,3,,97
2017,승용차,2641190,1597418,728314,250286,4775,617,59379,388
2017,승합차,127564,1099,97003,19810,2,8664,52,934
2017,화물차,339921,1735,302573,31366,19,447,,3781
2017,특수차,7581,18,7349,84,1,3,,126
2018,승용차,2658637,1589567,744280,239192,9507,597,75126,285
2018,승합차,120780,1059,93190,16699,33,8621,52,1125
2018,화물차,337241,1827,302557,28357,23,414,,4063
2018,특수차,7993,18,7760,80,1,3,,131
2019,승용차,2670803,1604962,727757,231089,14232,510,91453,203
2019,승합차,114310,1002,88472,14864,127,8529,52,1262
2019,화물차,330840,1933,297709,25942,592,400,,4264
2019,특수차,8204,18,7982,82,1,2,,119
2020,승용차,2711984,1631306,722122,220302,20763,435,115228,166
2020,승합차,106504,1087,81554,13838,382,8262,52,1320
2020,화물차,329943,2456,296124,24201,2228,416,,4518
2020,특수차,8930,18,8487,103,20,1,,301
