,,관광수지,관광수입,,관광지출
년,월,전체(백만달러),전체(백만달러),1인당(달러),전체(백만달러),1인당(달러)
"2016","01","-546.2","1,281.6","1,189.5","1,827.8","865.3"
"2016","02","-328.7","1,374.5","1,220.4","1,703.2","907.4"
"2016","03","-378.0","1,471.1","1,058.8","1,849.1","1,178.4"
"2016","04","-450.1","1,364.3","928.3","1,814.4","1,108.6"
"2016","05","-115.9","1,669.4","1,118.4","1,785.3","1,077.6"
"2016","06","-568.3","1,464.5","942.2","2,032.8","1,143.1"
"2016","07","-1,047.2","1,213.3","712.2","2,260.5","1,083.6"
"2016","08","-895.5","1,464.1","879.7","2,359.6","1,143.1"
"2016","09","-907.0","1,274.5","836.3","2,181.5","1,145.4"
"2016","10","-369.1","1,483.9","934.6","1,853.0","993.3"
"2016","11","-580.4","1,370.5","1,046.9","1,950.9","1,068.6"
"2016","12","-748.3","1,322.2","984.2","2,070.5","1,031.6"
"2016 소계","","-6,934.7","16,753.9","971.7","23,688.6","1,058.3"
"2017","01","-1,082.2","1,176.7","964.0","2,258.9","964.1"
"2017","02","-993.0","1,272.6","1,016.4","2,265.6","1,015.4"
"2017","03","-1,127.1","1,125.6","912.4","2,252.7","1,160.9"
"2017","04","-1,109.8","988.4","918.7","2,098.2","1,047.0"
"2017","05","-1,317.3","988.1","1,010.4","2,305.4","1,150.5"
"2017","06","-1,222.5","1,008.7","1,017.0","2,231.2","1,063.4"
"2017","07","-1,527.6","956.0","947.8","2,483.6","1,039.4"
"2017","08","-1,012.0","1,375.5","1,246.5","2,387.5","1,000.9"
"2017","09","-1,005.4","1,216.4","1,127.7","2,221.8","993.4"
"2017","10","-1,555.7","1,045.0","896.5","2,600.7","1,165.3"
"2017","11","-1,326.5","1,081.2","989.0","2,407.7","1,080.8"
"2017","12","-1,416.8","1,029.7","908.0","2,446.5","1,017.3"
"2017 소계","","-14,695.9","13,263.9","994.6","27,959.8","1,055.2"
"2018","01","-1,900.5","1,241.1","1,298.2","3,141.6","1,095.9"
"2018","02","-1,284.5","1,276.9","1,221.4","2,561.4","1,108.3"
"2018","03","-1,138.6","1,590.7","1,164.4","2,729.3","1,211.6"
"2018","04","-785.6","1,713.4","1,286.6","2,499.0","1,120.5"
"2018","05","-1,073.6","1,615.3","1,304.7","2,688.9","1,153.3"
"2018","06","-874.9","1,669.6","1,302.2","2,544.5","1,094.9"
"2018","07","-1,100.0","1,487.4","1,185.3","2,587.4","1,036.9"
"2018","08","-1,128.8","1,562.0","1,122.3","2,690.8","1,067.8"
"2018","09","-905.0","1,521.9","1,190.3","2,426.9","1,090.4"
"2018","10","-652.2","1,850.4","1,211.1","2,502.6","1,065.9"
"2018","11","-1,121.9","1,401.9","1,038.1","2,523.8","1,099.3"
"2018","12","-1,100.5","1,531.2","1,156.4","2,631.7","1,054.7"
"2018 소계","","-13,066.1","18,461.8","1,203.0","31,527.9","1,098.7"
"2019","01","-1,319.9","1,446.0","1,308.8","2,765.9","949.7"
"2019","02","-781.9","1,450.0","1,206.5","2,231.9","852.5"
"2019","03","-132.5","2,062.2","1,342.9","2,194.7","940.3"
"2019","04","-318.0","2,014.0","1,231.8","2,332.0","1,038.1"
"2019","05","-666.2","1,850.7","1,245.7","2,516.9","1,048.2"
"2019","06","-965.2","1,519.3","1,029.2","2,484.5","995.5"
"2019","07","-935.7","1,695.7","1,171.0","2,631.4","995.8"
"2019","08","-689.2","1,767.6","1,114.3","2,456.8","1,012.0"
"2019","09","-625.8","1,624.7","1,113.1","2,250.5","1,097.9"
"2019","10","-599.1","1,745.3","1,053.8","2,344.4","1,088.5"
"2019","11","-722.8","1,733.6","1,190.3","2,456.4","1,175.2"
"2019","12","-759.3","1,835.8","1,260.1","2,595.1","1,107.9"
"2019 소계","","-8,515.6","20,744.9","1,185.2","29,260.5","1,019.0"
"2020","01","-1,008.0","1,459.1","1,146.5","2,467.1","981.7"
"2020","02","-272.4","1,054.2","1,538.5","1,326.6","1,267.3"
"2020","03","-148.3","889.3","10,650.7","1,037.6","7,237.4"
"2020","04","-157.7","631.6","21,472.0","789.3","25,116.9"
"2020","05","-15.6","663.9","21,551.0","679.5","17,975.2"
"2020","06","-227.2","681.0","18,436.3","908.2","18,782.7"
"2020","07","-133.5","815.1","13,359.7","948.6","14,386.7"
"2020","08","-119.6","884.4","12,855.2","1,004.0","11,295.1"
"2020","09","-139.0","862.2","13,256.5","1,001.2","13,036.8"
"2020","10","-223.3","851.8","13,831.3","1,075.1","14,938.2"
"2020","11","-281.1","856.9","13,873.8","1,138.0","16,099.4"
"2020","12","-288.0","786.7","12,618.7","1,074.7","13,272.3"
"2020 소계","","-3,013.7","10,436.2","4,142.8","13,449.9","3,145.4"
"2021","01","-268.5","874.6","14,976.8","1,143.1","13,269.8"
"2021","02","-193.4","692.2","10,554.7","885.6","12,982.9"
"2021 소계","","-461.9","1,566.8","12,637.6","2,028.7","13,143.0"
"총 합계","","-46,687.9","81,227.5","1,229.4","127,915.4","1,155.3"
