지역,구분,지출액
서울특별시,숙박업,231362467380 
서울특별시,여행업,68294134058 
서울특별시,대중교통,286220351247 
서울특별시,렌터카,1498516424 
서울특별시,항공사,435252019556 
서울특별시,카지노,154721802400 
서울특별시,레저스포츠,159624710511 
서울특별시,면세점,1718416534235 
서울특별시,문화서비스,164012266808 
서울특별시,쇼핑(면세점 제외),885293444563 
서울특별시,식음료,3753683815398 
부산광역시,숙박업,44489362343 
부산광역시,여행업,213092032 
부산광역시,대중교통,52648400 
부산광역시,렌터카,65816919 
부산광역시,항공사,45555600315 
부산광역시,카지노,53067810000 
부산광역시,레저스포츠,61833340585 
부산광역시,면세점,51741328807 
부산광역시,문화서비스,16288417975 
부산광역시,쇼핑(면세점 제외),541435700023 
부산광역시,식음료,923041058574 
대구광역시,숙박업,17651691981 
대구광역시,여행업,43099100 
대구광역시,대중교통,11760000 
대구광역시,렌터카,4462000 
대구광역시,레저스포츠,45930496508 
대구광역시,면세점,2651637842 
대구광역시,문화서비스,11987765480 
대구광역시,쇼핑(면세점 제외),146518716495 
대구광역시,식음료,577138938658 
인천광역시,숙박업,23079297226 
인천광역시,여행업,47344816 
인천광역시,대중교통,6723689308 
인천광역시,렌터카,6261114 
인천광역시,항공사,2870407875 
인천광역시,카지노,138222713500 
인천광역시,레저스포츠,47983074271 
인천광역시,면세점,458755595774 
인천광역시,문화서비스,8967600386 
인천광역시,쇼핑(면세점 제외),160219216921 
인천광역시,식음료,525923724670 
광주광역시,숙박업,8036227917 
광주광역시,여행업,3603200 
광주광역시,대중교통,418729180 
광주광역시,렌터카,6703150 
광주광역시,레저스포츠,21293324250 
광주광역시,문화서비스,5012772239 
광주광역시,쇼핑(면세점 제외),84159028911 
광주광역시,식음료,324348191465 
대전광역시,숙박업,5591275583 
대전광역시,여행업,172480 
대전광역시,대중교통,448079938370 
대전광역시,레저스포츠,14401858085 
대전광역시,문화서비스,3740691710 
대전광역시,쇼핑(면세점 제외),64840452739 
대전광역시,식음료,279557007800 
울산광역시,숙박업,6724844866 
울산광역시,여행업,10478000 
울산광역시,대중교통,247553596 
울산광역시,렌터카,9598000 
울산광역시,레저스포츠,19609199296 
울산광역시,면세점,26326950 
울산광역시,문화서비스,3148321709 
울산광역시,쇼핑(면세점 제외),41028517629 
울산광역시,식음료,195996971852 
세종특별자치시,숙박업,131433362 
세종특별자치시,레저스포츠,3864077207 
세종특별자치시,문화서비스,501418060 
세종특별자치시,쇼핑(면세점 제외),1636848160 
세종특별자치시,식음료,30793812229 
경기도,숙박업,67194341747 
경기도,여행업,443145582 
경기도,대중교통,45034447780 
경기도,렌터카,13579226803 
경기도,레저스포츠,360149555476 
경기도,면세점,91479530 
경기도,문화서비스,70346627091 
경기도,쇼핑(면세점 제외),904386808454 
경기도,식음료,2424064702471 
강원도,숙박업,49941548161 
강원도,여행업,814641900 
강원도,대중교통,44405690 
강원도,렌터카,17091875 
강원도,항공사,23817300 
강원도,레저스포츠,59170179918 
강원도,면세점,107243350 
강원도,문화서비스,11097616447 
강원도,쇼핑(면세점 제외),32811920785 
강원도,식음료,278391282994 
충청북도,숙박업,6216798838 
충청북도,여행업,3929000 
충청북도,대중교통,19886500 
충청북도,렌터카,2568200 
충청북도,레저스포츠,41128864926 
충청북도,면세점,52479303 
충청북도,문화서비스,3391234480 
충청북도,쇼핑(면세점 제외),48073486236 
충청북도,식음료,242245561187 
충청남도,숙박업,15362937063 
충청남도,여행업,142629350 
충청남도,대중교통,8870500 
충청남도,렌터카,706250 
충청남도,항공사,9252000 
충청남도,레저스포츠,29448461571 
충청남도,문화서비스,3995313488 
충청남도,쇼핑(면세점 제외),68057065020 
충청남도,식음료,349758396641 
전라북도,숙박업,11119864816 
전라북도,여행업,10054120 
전라북도,대중교통,30088100 
전라북도,렌터카,18180900 
전라북도,항공사,19654124007 
전라북도,레저스포츠,28091643860 
전라북도,면세점,69851210 
전라북도,문화서비스,4803040247 
전라북도,쇼핑(면세점 제외),63247501345 
전라북도,식음료,268199526919 
전라남도,숙박업,15499143496 
전라남도,여행업,38455250 
전라남도,대중교통,311973860 
전라남도,렌터카,24323638 
전라남도,레저스포츠,43447371356 
전라남도,면세점,409053290 
전라남도,문화서비스,8299241654 
전라남도,쇼핑(면세점 제외),51411030541 
전라남도,식음료,237196339070 
경상북도,숙박업,17448549177 
경상북도,여행업,6026500 
경상북도,대중교통,44161600 
경상북도,렌터카,7193500 
경상북도,레저스포츠,83586518394 
경상북도,문화서비스,6226353223 
경상북도,쇼핑(면세점 제외),73762094666 
경상북도,식음료,385749438892 
경상남도,숙박업,21839134227 
경상남도,여행업,24395900 
경상남도,대중교통,830322360 
경상남도,렌터카,21194814 
경상남도,레저스포츠,86480960348 
경상남도,문화서비스,8037304348 
경상남도,쇼핑(면세점 제외),102096959231 
경상남도,식음료,479792744521 
제주특별자치도,숙박업,54364655375 
제주특별자치도,여행업,792289568 
제주특별자치도,대중교통,79755300 
제주특별자치도,렌터카,9713854738 
제주특별자치도,항공사,34767777326 
제주특별자치도,카지노,1888900000 
제주특별자치도,레저스포츠,28089885019 
제주특별자치도,면세점,177399940643 
제주특별자치도,문화서비스,9207742892 
제주특별자치도,쇼핑(면세점 제외),29910500088 
제주특별자치도,식음료,209075778353 
