광역지자체,구분,검색수
전국,자연관광지,12760973 
전국,역사관광지,4012926 
전국,휴양관광지,3471907 
전국,공연/행사,5039652 
전국,문화시설,4795725 
전국,레포츠(육상/해상/항공),8133410 
전국,쇼핑,14084119 
전국,식음료,85644456 
전국,숙박,21129644 
전국,기타관광지,21049867 
서울특별시,자연관광지,1107042 
서울특별시,역사관광지,326604 
서울특별시,휴양관광지,519002 
서울특별시,공연/행사,1672690 
서울특별시,문화시설,1136386 
서울특별시,레포츠(육상/해상/항공),329540 
서울특별시,쇼핑,3096986 
서울특별시,식음료,13481786 
서울특별시,숙박,3818914 
서울특별시,기타관광지,3721850 
부산광역시,자연관광지,615285 
부산광역시,역사관광지,253725 
부산광역시,휴양관광지,119234 
부산광역시,공연/행사,197863 
부산광역시,문화시설,298420 
부산광역시,레포츠(육상/해상/항공),193542 
부산광역시,쇼핑,727240 
부산광역시,식음료,4205636 
부산광역시,숙박,1052166 
부산광역시,기타관광지,991859 
대구광역시,자연관광지,189442 
대구광역시,역사관광지,48647 
대구광역시,휴양관광지,103555 
대구광역시,공연/행사,192574 
대구광역시,문화시설,136706 
대구광역시,레포츠(육상/해상/항공),71261 
대구광역시,쇼핑,316012 
대구광역시,식음료,2756188 
대구광역시,숙박,387483 
대구광역시,기타관광지,432725 
인천광역시,자연관광지,1236364 
인천광역시,역사관광지,164914 
인천광역시,휴양관광지,85271 
인천광역시,공연/행사,305210 
인천광역시,문화시설,234271 
인천광역시,레포츠(육상/해상/항공),494399 
인천광역시,쇼핑,1126572 
인천광역시,식음료,4638054 
인천광역시,숙박,1149945 
인천광역시,기타관광지,2095583 
광주광역시,자연관광지,63299 
광주광역시,역사관광지,23441 
광주광역시,휴양관광지,31845 
광주광역시,공연/행사,125474 
광주광역시,문화시설,100690 
광주광역시,레포츠(육상/해상/항공),40504 
광주광역시,쇼핑,193848 
광주광역시,식음료,1861575 
광주광역시,숙박,220497 
광주광역시,기타관광지,295168 
대전광역시,자연관광지,143104 
대전광역시,역사관광지,17344 
대전광역시,휴양관광지,48120 
대전광역시,공연/행사,128349 
대전광역시,문화시설,108541 
대전광역시,레포츠(육상/해상/항공),56728 
대전광역시,쇼핑,170930 
대전광역시,식음료,2188009 
대전광역시,숙박,341682 
대전광역시,기타관광지,375980 
울산광역시,자연관광지,178069 
울산광역시,역사관광지,38634 
울산광역시,휴양관광지,30923 
울산광역시,공연/행사,53671 
울산광역시,문화시설,61068 
울산광역시,레포츠(육상/해상/항공),60186 
울산광역시,쇼핑,109224 
울산광역시,식음료,1386022 
울산광역시,숙박,217141 
울산광역시,기타관광지,356367 
세종특별자치시,자연관광지,100218 
세종특별자치시,역사관광지,11217 
세종특별자치시,휴양관광지,31704 
세종특별자치시,공연/행사,48826 
세종특별자치시,문화시설,19062 
세종특별자치시,레포츠(육상/해상/항공),36672 
세종특별자치시,쇼핑,63695 
세종특별자치시,식음료,807419 
세종특별자치시,숙박,38171 
세종특별자치시,기타관광지,106210 
경기도,자연관광지,2470868 
경기도,역사관광지,700029 
경기도,휴양관광지,1097100 
경기도,공연/행사,1528160 
경기도,문화시설,1080610 
경기도,레포츠(육상/해상/항공),3747229 
경기도,쇼핑,5928037 
경기도,식음료,26766422 
경기도,숙박,3495748 
경기도,기타관광지,4586973 
강원도,자연관광지,1515349 
강원도,역사관광지,389552 
강원도,휴양관광지,236316 
강원도,공연/행사,101324 
강원도,문화시설,231028 
강원도,레포츠(육상/해상/항공),781110 
강원도,쇼핑,373608 
강원도,식음료,5086443 
강원도,숙박,2974309 
강원도,기타관광지,1538118 
충청북도,자연관광지,347741 
충청북도,역사관광지,123788 
충청북도,휴양관광지,65626 
충청북도,공연/행사,101251 
충청북도,문화시설,73163 
충청북도,레포츠(육상/해상/항공),472377 
충청북도,쇼핑,218568 
충청북도,식음료,2463972 
충청북도,숙박,640518 
충청북도,기타관광지,770854 
충청남도,자연관광지,1002449 
충청남도,역사관광지,355995 
충청남도,휴양관광지,226706 
충청남도,공연/행사,134987 
충청남도,문화시설,249122 
충청남도,레포츠(육상/해상/항공),367001 
충청남도,쇼핑,381566 
충청남도,식음료,3948112 
충청남도,숙박,1152994 
충청남도,기타관광지,1099753 
전라북도,자연관광지,403961 
전라북도,역사관광지,198662 
전라북도,휴양관광지,93877 
전라북도,공연/행사,87656 
전라북도,문화시설,122740 
전라북도,레포츠(육상/해상/항공),159759 
전라북도,쇼핑,186761 
전라북도,식음료,2685819 
전라북도,숙박,657808 
전라북도,기타관광지,725177 
전라남도,자연관광지,799833 
전라남도,역사관광지,274393 
전라남도,휴양관광지,123279 
전라남도,공연/행사,55055 
전라남도,문화시설,142193 
전라남도,레포츠(육상/해상/항공),227842 
전라남도,쇼핑,198562 
전라남도,식음료,2462196 
전라남도,숙박,960422 
전라남도,기타관광지,963433 
경상북도,자연관광지,626527 
경상북도,역사관광지,647367 
경상북도,휴양관광지,191826 
경상북도,공연/행사,98676 
경상북도,문화시설,254208 
경상북도,레포츠(육상/해상/항공),359874 
경상북도,쇼핑,253428 
경상북도,식음료,3284161 
경상북도,숙박,1193118 
경상북도,기타관광지,943127 
경상남도,자연관광지,769370 
경상남도,역사관광지,367316 
경상남도,휴양관광지,194193 
경상남도,공연/행사,157732 
경상남도,문화시설,193584 
경상남도,레포츠(육상/해상/항공),437478 
경상남도,쇼핑,471506 
경상남도,식음료,4165599 
경상남도,숙박,1198087 
경상남도,기타관광지,1071770 
제주특별자치도,자연관광지,1192052 
제주특별자치도,역사관광지,71298 
제주특별자치도,휴양관광지,273330 
제주특별자치도,공연/행사,50154 
제주특별자치도,문화시설,353933 
제주특별자치도,레포츠(육상/해상/항공),297908 
제주특별자치도,쇼핑,267576 
제주특별자치도,식음료,3457043 
제주특별자치도,숙박,1630641 
제주특별자치도,기타관광지,974920 
