지역,구분,방문자수
서울특별시,내국인,648561588 
서울특별시,외국인,27677860 
부산광역시,내국인,149672134 
부산광역시,외국인,5284413 
대구광역시,내국인,106502840 
대구광역시,외국인,984702 
인천광역시,내국인,177054619 
인천광역시,외국인,9006523 
광주광역시,내국인,65535267 
광주광역시,외국인,503517 
대전광역시,내국인,83144173 
대전광역시,외국인,483927 
울산광역시,내국인,47793760 
울산광역시,외국인,1068907 
세종특별자치시,내국인,25170582 
세종특별자치시,외국인,114821 
경기도,내국인,655389497 
경기도,외국인,9359910 
강원도,내국인,143757912 
강원도,외국인,1854111 
충청북도,내국인,105067452 
충청북도,외국인,781505 
충청남도,내국인,154606564 
충청남도,외국인,1655436 
전라북도,내국인,92151059 
전라북도,외국인,915657 
전라남도,내국인,117585839 
전라남도,외국인,2108190 
경상북도,내국인,172036882 
경상북도,외국인,1700946 
경상남도,내국인,151265289 
경상남도,외국인,2199427 
제주특별자치도,내국인,52895899 
제주특별자치도,외국인,5920797 
