,,공항,,,,,항구,,,
년,월,인천공항,김해공항,김포공항,제주공항,기타공항,부산항구,인천항구,제주항구,기타항구
2019,1,"740,027","79,475","80,995","70,137","16,580","24,221","34,530",14,"58,824"
2019,2,"830,808","97,428","84,310","79,204","21,517","18,179","28,720","2,554","39,082"
2019,3,"1,032,359","126,510","109,587","87,338","28,013","31,496","52,183","4,088","64,067"
2019,4,"1,072,549","128,778","105,027","98,230","34,710","54,867","55,292","16,703","68,910"
2019,5,"955,942","121,873","92,550","100,140","27,969","55,962","50,800","4,768","75,680"
2019,6,"976,889","125,578","98,905","103,953","33,168","39,522","36,849","4,419","56,935"
2019,7,"955,704","113,963","100,416","110,099","33,635","35,821","38,542","1,927","57,960"
2019,8,"1,021,251","124,622","107,397","124,636","35,349","45,867","41,697","2,191","83,289"
2019,9,"981,017","107,756","96,032","111,546","26,013","43,158","38,512","1,966","53,664"
2019,10,"1,119,438","118,618","100,165","118,019","30,394","45,754","50,135","3,909","69,763"
2019,11,"986,320","105,431","98,971","103,342","20,125","31,843","40,418","3,104","66,875"
2019,12,"1,000,297","100,231","98,699","111,794","17,927","25,233","33,297",633,"68,777"
