년,월,계,관광,상용,공용,유학연수,기타
2019 ,1 ,1104803 ,884293 ,13675 ,4439 ,15995 ,186401 
2019 ,2 ,1201802 ,907928 ,13061 ,3789 ,64760 ,212264 
2019 ,3 ,1535641 ,1251744 ,16103 ,5139 ,45801 ,216854 
2019 ,4 ,1635066 ,1382540 ,14794 ,6914 ,13523 ,217295 
2019 ,5 ,1485684 ,1233562 ,15020 ,6457 ,20702 ,209943 
2019 ,6 ,1476218 ,1237840 ,15006 ,7327 ,23818 ,192227 
2019 ,7 ,1448067 ,1218767 ,14158 ,6463 ,19169 ,189510 
2019 ,8 ,1586299 ,1251764 ,14575 ,6388 ,71128 ,242444 
2019 ,9 ,1459664 ,1178421 ,16668 ,6903 ,39247 ,218425 
2019 ,10 ,1656195 ,1403576 ,16070 ,6944 ,17414 ,212191 
2019 ,11 ,1456429 ,1234503 ,16028 ,7115 ,21568 ,177215 
2019 ,12 ,1456888 ,1247337 ,13287 ,6332 ,22536 ,167396 
