연도,분기,계,관광,상용,공용,유학연수,기타
"2019","1","3,842,246","3,043,965","42,839","13,367","126,556","615,519"
"2019","2","4,596,968","3,853,942","44,820","20,698","58,043","619,465"
"2019","3","4,494,030","3,648,952","45,401","19,754","129,544","650,379"
"2019","4","4,569,512","3,885,416","45,385","20,391","61,518","556,802"
"2019 소계","","17,502,756","14,432,275","178,445","74,210","375,661","2,442,165"
"2020","1","2,041,417","1,565,970","21,283","9,971","76,867","367,326"
"2020","2","97,159","20,990","1,322","1,059","11,202","62,586"
"2020","3","194,849","31,985","3,080","3,225","23,119","133,440"
"2020","4","185,693","34,526","3,824","2,316","7,274","137,753"
"2020 소계","","2,519,118","1,653,471","29,509","16,571","118,462","701,105"
"총 합계","","20,021,874","16,085,746","207,954","90,781","494,123","3,143,270"
